Injuries1 in CCL Investigations2 Sustained in Day Care Centers and Homes,,,,,,,,,,,,,,,,
"July 01, 2017 - July 31, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operation Type3,Operation Number,Operation Name ,Impact Case ID,Impact Stage ID,Class Investigation ID,CLASS Investigaion Number,Date Intake Received ,Date Investigation Completed,Injury,Injury Related to Abuse/Neglect,Injury Determination,Type of Injury,Other Type of Injury,Injury Caused By,Injury Related To,Incident Location
Licensed Center,1627317,Xplor,,,1586366,2435389,4/4/2018,4/6/2018,Y,N,Non-Serious,Other,fell while running,Other,,Child in care at the operation
Licensed Center,1630112,"Little Bear Child Care Center, Inc.",,,1586383,2435391,4/4/2018,4/5/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1634135,Parker-Chase Preschool,,0,1586271,2435162,4/4/2018,4/25/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1646300,The Drake School of Etiquette & Performing Arts,,,1586272,2435172,4/4/2018,6/1/2018,Y,N,Non-Serious,Other,scratch,Other,,Child in care away from the operation
Licensed Center,410075-806,Mockingbird Elementary at YMCA,,0,1586343,2435358,4/4/2018,5/11/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,505838-810,The Children's Courtyard,,,1586447,2435393,4/4/2018,6/1/2018,Y,N,Non-Serious,Other,Scratches,Self-Inflicted,Scratches,Child in care at the operation
Licensed Center,520799,Memorial Creme De La Creme,,,1586333,2435312,4/4/2018,5/2/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,524848,Faith School For Young Children,,,1586318,2435286,4/4/2018,4/27/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,531794,Tomorrow's Promise,46683550,,1586339,2435343,4/4/2018,5/3/2018,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,541899,Kids Kingdom,,0,1586396,2435474,4/4/2018,4/25/2018,Y,N,Non-Serious,Other,Ant bite,Other,,Child in care at the operation
Licensed Center,546530,Kindergarten Prep Child Care Center,46686033,0,1586422,2435551,4/4/2018,5/3/2018,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,851621,Simply Smarts Learning Center,,,1586487,2435232,4/4/2018,5/2/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,ear,Child in care at the operation
Licensed Center,852364,First Baptist Church Hand in Hand Preschool,,,1586340,2435234,4/4/2018,5/2/2018,Y,N,Non-Serious,Other,concussion,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,856322-1386,KinderCare Learning Center,,0,1586348,2435378,4/4/2018,5/1/2018,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,859502,Tree House Kids,,,1586284,2435244,4/4/2018,4/9/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,941206,Rising Stars Preschool,,,1586278,2435230,4/4/2018,5/2/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1355009,Carousel Learning Academy of Laredo,46693291,,1586514,2435854,4/5/2018,5/2/2018,Y,N,Non-Serious,Other,Bite,Other,,Child in care at the operation
Licensed Center,1520784,Pre-K 4 SA - South Education Center,,,1586384,2435442,4/5/2018,4/13/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1544886,Pre-K 4 SA East Education Center,,,1586419,2435498,4/5/2018,4/16/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1545710,Campus Kids @ Haude Elementary School Age Program,,,1586433,2435679,4/5/2018,4/27/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1559882-9871,Alice G K Kleberg Learning Center,,0,1586449,2435697,4/5/2018,4/24/2018,Y,N,Non-Serious,Other,Cut on finger,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1611718,Happy Start Inc DBA Kid Connection Academy,,,1586437,2435676,4/5/2018,5/4/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1654283,Lionheart Children's Academy,,,1586600,2435702,4/5/2018,6/1/2018,Y,N,Non-Serious,Other,Bump on forehead,Other,,Child in care at the operation
Licensed Center,1654520,Katy Kids Connection 3,,0,1586427,2435652,4/5/2018,6/1/2018,Y,N,Non-Serious,Other,Sustained knot on head due to fall,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1665083,Bright Horizons at Westlake,,,1586466,2435724,4/5/2018,5/29/2018,Y,N,Non-Serious,Other,brusing to the nose,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,24747,Elgin Park Neighbor Center,,,1586480,2435678,4/5/2018,4/13/2018,Y,N,Non-Serious,Other,ripped finger nail,Self-Inflicted,accidental fall,Child in care at the operation
Licensed Center,410532,St Matthews CDC,,,1586400,2435631,4/5/2018,6/1/2018,Y,N,Non-Serious,Other,gash on forehead,Other,,Child in care at the operation
Licensed Center,501308-667,Hazel Kelley Wilson Infant Center,,0,1586446,2435693,4/5/2018,4/30/2018,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,537655-1967,Stepping Stone School X,,,1586364,2435438,4/5/2018,4/6/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,64373,FUMC Weekday Preschool,,,1586399,2435570,4/5/2018,4/26/2018,Y,N,Non-Serious,Other,Dislocation,Other,,Child in care at the operation
Licensed Center,868563,Kids R Kids # 44 TX,,0,1586429,2435664,4/5/2018,4/23/2018,Y,N,Serious,Other,loss of consciousness ,Other,,Child in care at the operation
Licensed Center,893416,Childcare Network  #171,,,1586425,2435617,4/5/2018,5/30/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,902484,Blue Diamond Montessori Center,46692348,70596521,1586439,2435667,4/5/2018,5/4/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,903094,Tadlock Elementary AlphaBEST,,,1586381,2435522,4/5/2018,4/16/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,963246,Bright Beginnings,46695128,70599659,1586470,2435798,4/5/2018,5/3/2018,Y,N,Serious,Other,Bruise to face,Other,,Child in care away from the operation
Licensed Center,981626,North Side Christian Preschool,,,1586464,2435580,4/5/2018,4/18/2018,Y,N,Non-Serious,Other,posible minor concussion,Indoor Equipment/Structure,Carpeted floor ,Child in care at the operation
Licensed Center,1031506,Alpha Academy at Oakmont,,,1586484,2435761,4/6/2018,4/13/2018,Y,N,Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1040566,Jeff Dock Child Development Center,,,1586531,2435921,4/6/2018,4/19/2018,Y,N,Non-Serious,Other,Sprain,Other,,Child in care at the operation
Licensed Center,1083046-661,Boys and Girls Club at Bullard Elementary,,,1586576,2435825,4/6/2018,4/25/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1202646,Pettit Private School,,0,1586770,2435926,4/6/2018,4/11/2018,Y,N,Non-Serious,Other,Cornea Abrasion ,Indoor Equipment/Structure,Finger to the eye,Child in care at the operation
Licensed Center,1314970,Prodigy Learning Center Hunters Creek,,,1586561,2435930,4/6/2018,4/17/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1493307-6151,Burke Elementary Head Start,,,1586682,2435845,4/6/2018,5/15/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1509743-9091,Tree House Children's Academy - Indiana,46702893,,1586631,2436203,4/6/2018,6/4/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,1540113,Childrens Lighthouse of Spring,,,1586559,2435932,4/6/2018,4/12/2018,Y,N,Non-Serious,Other,toe nail removed,Other,,Child in care at the operation
Licensed Center,1540886,Advent's Beloved Children  ABC Learning Center,,,1586483,2435811,4/6/2018,5/4/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1544226,Learning Experience,,0,1586562,2435918,4/6/2018,5/4/2018,Y,N,Non-Serious,Other,Bruise,Other,,Child in care at the operation
Licensed Center,1559416,Pinnacle Kids Academy III,,0,1586521,2435887,4/6/2018,5/8/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1579096,Boone-AISD Third Base,,,1586580,2435917,4/6/2018,5/5/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1621570,The Learning Experience,,0,1586507,2435879,4/6/2018,5/2/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1628951,Kiddie Academy of League City West,46700868,70603869,1586524,2435908,4/6/2018,4/20/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,208849-765,Country Home Learning Center,,0,1586607,2435935,4/6/2018,5/4/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,226222,First United Methodist Preschool,,,1586519,2435894,4/6/2018,5/14/2018,Y,N,Non-Serious,Other,chin laceration,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,410268-1030,San Angelo YMCA Goliad Branch,,,1586520,2435816,4/6/2018,4/11/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,Jumped over a child and fell on arm,Child in care at the operation
Licensed Center,517205,Sunnyview Head Start,,,1586605,2435821,4/6/2018,6/4/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,533389-1427,YMCA-Great Oaks Elementary,,,1586482,2435820,4/6/2018,5/21/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,810893,Lil Rascals Learning Center Inc,,,1586512,2435815,4/6/2018,6/4/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,running in front of moving swings,Child in care at the operation
Licensed Center,840543,Sunshine Kids Preschool,,,1586499,2435829,4/6/2018,4/30/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,853502,Ripley Do-Das Learning Center,,0,1586494,2435832,4/6/2018,6/1/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1133426,Kids Castle Learning Center & Child Care LLC,46703532,70611772,1586570,2436119,4/7/2018,5/5/2018,Y,N,Non-Serious,Other,bruising,Other,,Child in care at the operation
Licensed Center,1512886,Children's Learning Adventure Child Care Center,,,1586571,2436137,4/7/2018,4/12/2018,Y,N,Non-Serious,Other,Nurse's Maid Elbow,Other,,Child in care at the operation
Licensed Center,1521873,Clubhouse Cadets at Casey Elementary,46703728,,1586636,2436195,4/7/2018,4/26/2018,Y,N,Non-Serious,Other,Bite,Other,,Child in care at the operation
Licensed Center,1551901,Brite Start Childcare Center,,0,1586564,2436007,4/7/2018,4/10/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,fell from climbing fence,Child in care at the operation
Licensed Center,1563397,Texas Tykes KRK #11,46703895,0,1586587,2436208,4/7/2018,5/4/2018,Y,N,Non-Serious,Other,Dislocated arm,Discipline,Pulling child,Child in care at the operation
Licensed Center,410045-5591,Lyndon B Johnson Head Start,46704875,70612319,1586588,2436167,4/7/2018,4/19/2018,Y,N,Non-Serious,Other,Petechiae to buttocks,Other,,Child in care at the operation
Licensed Center,1562936,Kids On The Hill Academy,46705648,70613379,1586612,2436347,4/8/2018,5/7/2018,Y,N,Non-Serious,Contusion,,Other,,Child in care away from the operation
Licensed Center,1221598-1030,San Angelo YMCA San Jacinto,,,1586689,2436293,4/9/2018,4/11/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,1401727,Premier Academy Trophy Club,,,1586613,2436200,4/9/2018,4/19/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1514126,F & J Inc Dba Rising Star Learning Center,46707667,70614258,1586621,2436398,4/9/2018,5/3/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1531383-661,Boys & Girls Clubs at Griffin Elementary,,,1586652,2436140,4/9/2018,4/20/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1531383-661,Boys & Girls Clubs at Griffin Elementary,,,1586652,2436140,4/9/2018,4/20/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1544891,Pre-K 4 SA West Education Center,,,1586648,2436416,4/9/2018,4/16/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1604456,Primrose School of Frisco at Independence,,,1586664,2436397,4/9/2018,6/7/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1627364,Xplor,,0,1586677,2436171,4/9/2018,5/10/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1659217,Montessori Academy at Westridge,,0,1586623,2436376,4/9/2018,4/26/2018,Y,N,Non-Serious,Other,Scratch,Other,,Child in care at the operation
Licensed Center,1659683,Crayola Learning Center,,,1586585,2436165,4/9/2018,5/18/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,Cut chin on floor.,Child in care at the operation
Licensed Center,1670281,Mariposa Montessori School,46709868,70614330,1586622,2436358,4/9/2018,5/22/2018,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,Window Blind Cord,Child in care away from the operation
Licensed Center,171701,Discovery School,,,1586593,2436081,4/9/2018,4/30/2018,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,Metal Edging,Child in care at the operation
Licensed Center,25136,Oak Lawn Baptist Day Care Center,46714520,0,1586683,2436800,4/9/2018,4/17/2018,Y,N,Non-Serious,Other,Hand marks/bruise on a child's left arm.,Other,,Child in care at the operation
Licensed Center,30671,Healy-Murphy Child Development Center Early Head Start,,,1586687,2436617,4/9/2018,5/4/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,37604,Tarrant County College Children,,,1586645,2436528,4/9/2018,5/8/2018,Y,N,Non-Serious,Contusion,,Discipline,arms being squeezed,Child in care at the operation
Licensed Center,410008-750,YWCAre at Ramirez Elementary,,,1586644,2436456,4/9/2018,4/12/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,420357,Kaleidoscope Child Development Center,,,1586840,2436044,4/9/2018,4/25/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,510621-1029,Andrews Headstart Program,,,1586692,2436417,4/9/2018,4/11/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,537436-810,Childrens Courtyard,,,1586629,2436075,4/9/2018,6/1/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,840503-1030,San Angelo YMCA Lamar,,,1586798,2436318,4/9/2018,4/11/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,845658,Alpha Christian Academy,46706967,70613761,1586614,2436351,4/9/2018,5/8/2018,Y,N,Non-Serious,Other,scratch/pinch,Other,,Child in care at the operation
Licensed Center,846833-2222,Blackshear Early Childhood Center,,0,1586603,2436138,4/9/2018,5/8/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,880190,University Academy,46710649,70615025,1586630,2436408,4/9/2018,5/8/2018,Y,Y,Non-Serious,Contusion,,Discipline,,Child in care at the operation
Licensed Center,904313,Kids R Kids #58,,,1586647,2436467,4/9/2018,5/29/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1023806,Tibbals Elementary AlphaBEST,,,1586748,2436722,4/10/2018,4/25/2018,Y,N,Serious,Fracture,,Self-Inflicted,fell ,Child in care at the operation
Licensed Center,1368826,Top of the World Preschool,,,1586739,2437061,4/10/2018,5/25/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1512619,New Braunfels Academy,,,1586719,2436851,4/10/2018,4/17/2018,Y,N,Non-Serious,Other,A cut on forehead,Other,,Child in care at the operation
Licensed Center,1520220,Summit Christian Learning Center,,,1586730,2437060,4/10/2018,4/17/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1534927,Kreative Kids Learning Center,,,1586679,2436857,4/10/2018,4/11/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,Jumping off a log,Child in care at the operation
Licensed Center,1586836-668,Y School Age @ Cotton Elementary,,0,1586684,2436854,4/10/2018,5/4/2018,Y,N,Non-Serious,Other,Ankle sprain,Outdoor Equipment/Structure,jump rope,Child in care at the operation
Licensed Center,1660176,Childcare Network #305,,0,1586732,2437064,4/10/2018,5/10/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1670352,Little Feet Learning Center,,0,1586750,2437121,4/10/2018,4/27/2018,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,baseboard on wall,Child in care at the operation
Licensed Center,204132,Gethsemane Lutheran Childrens,46721847,70624900,1586747,2437116,4/10/2018,5/9/2018,Y,N,Serious,Fracture,,Discipline,Slammed down,Child in care away from the operation
Licensed Center,247848,Hope Lutheran School,46719309,70624101,1586735,2437020,4/10/2018,5/9/2018,Y,N,Non-Serious,Other,redness and swelling,Discipline,,Child in care at the operation
Licensed Center,533195,Stephanies Angels,,,1586974,2437146,4/10/2018,4/20/2018,Y,N,Non-Serious,Internal,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,53826,ST Lukes Pre-school,,,1586724,2437063,4/10/2018,4/12/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,Fell on ground,Child in care at the operation
Licensed Center,61664,Neal Child Development Center,,,1586720,2437044,4/10/2018,6/4/2018,Y,N,Non-Serious,Other,Swelling and Redness,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,810396,Ray Ellison Family Center,,0,1586728,2437065,4/10/2018,5/1/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,810471,Wesley United Methodist Church MDO,46721127,,1586734,2437106,4/10/2018,4/11/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,897104,"Genesis Learning Center, Inc",,,1586902,2437123,4/10/2018,6/4/2018,Y,N,Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,905089-806,Elliott Elementary Frisco YMCA,,,1586736,2437048,4/10/2018,5/16/2018,Y,N,Non-Serious,Other,Back Sprain,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1399988,Dealey Child Care Center,,,1586870,2437517,4/11/2018,4/16/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1502354,Child Care Associates-Park Lake Child Development Center,,,1586844,2437643,4/11/2018,6/1/2018,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1510701,Grandma's Garden,,,1586841,2437669,4/11/2018,4/27/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1514371,Kids R Kids,,0,1586819,2437549,4/11/2018,4/27/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1561418,Ark of Friendship,,,1586868,2437649,4/11/2018,4/12/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1598442,Kids R Kids #35,,0,1586824,2437538,4/11/2018,5/7/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1619120,Primrose School at Lakeshore,,,1586766,2437184,4/11/2018,4/16/2018,Y,N,Non-Serious,Other,Welts/ Red marks,Tools/Equipment,blocks,Child in care at the operation
Licensed Center,1640246,Promiseland Learning Center,,,1586855,2437243,4/11/2018,5/29/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,182668,"Happy Days Day Care, Inc.",46729287,,1587020,2437621,4/11/2018,4/18/2018,Y,N,Non-Serious,Other,A cut on forehead.,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,247857-765,"Country Home Learning Center #5, LTD",,,1586809,2437532,4/11/2018,4/27/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,248219,Blessed Sacrament Academy Child Development Center,,,1586834,2437418,4/11/2018,4/25/2018,Y,N,Non-Serious,Other,Strained Neck,Other,,Child in care at the operation
Licensed Center,517024,Prodigy Child Development Center,46728288,70630921,1586805,2437534,4/11/2018,5/10/2018,Y,N,Serious,Spinal Cord,,Discipline,Slamming child down,Child in care away from the operation
Licensed Center,537319,Grand Prairie Head Start,,0,1586813,2437510,4/11/2018,5/11/2018,Y,N,Non-Serious,Other,Knot on forehead,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,541815,Covenant Child Development Center,,0,1586794,2437413,4/11/2018,5/23/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,545029-684,Colleyville Montessori School,,0,1586846,2437544,4/11/2018,6/8/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,545029-684,Colleyville Montessori School,,,1586804,2437389,4/11/2018,6/7/2018,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,558819,Kiddie Kampus Preschool,,0,1586854,2437511,4/11/2018,6/5/2018,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,823028-2589,Diamond Road Head Start and Child Development Center,46732416,,1586888,2437687,4/11/2018,6/1/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,851004,Gunstream Elementary AlphaBEST,,,1586877,2437644,4/11/2018,5/10/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,Tripped on concrete surrounding playground,Child in care at the operation
Licensed Center,853248-1130,Childtime Learning Center,,,1586829,2437593,4/11/2018,6/7/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,897602,Primrose School of Cedar Park West,,,1586835,2437661,4/11/2018,5/31/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1069626,Amarillo Southwest Montessori Preschool INC,,0,1586959,2437928,4/12/2018,4/30/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,119564-684,La Petite,,,1586937,2437922,4/12/2018,5/10/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,135189-747,Kindercare - 362,,0,1586985,2437913,4/12/2018,4/18/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,141244,Ridgewood Park Weekday Programs,,,1586993,2437936,4/12/2018,4/13/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1462806,Bluebonnet School of Canyon Creek,,0,1586927,2437932,4/12/2018,5/29/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,14650-5214,ChildCareGroup at Landauer,,0,1586994,2438019,4/12/2018,4/16/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,He fell on the ground,Child in care at the operation
Licensed Center,1472386,Bethel Lutheran Preschool,,,1586895,2437875,4/12/2018,6/8/2018,Y,N,Non-Serious,Other,dental,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1497892,Our Little Texans Learning Center,,,1587050,2437933,4/12/2018,4/18/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1623338,Growing Tree Learning Center,46738768,70640339,1586920,2437923,4/12/2018,5/3/2018,Y,N,Serious,Burn,,Other,,Child in care at the operation
Licensed Center,1627319,Xplor - Rhodes - Houston,,,1586881,2437778,4/12/2018,6/8/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,floor,Child in care at the operation
Licensed Center,308151-747,Kindercare Custer,46739193,0,1586997,2438061,4/12/2018,4/24/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,412627-2589,Arlington II Headstart & Child Development Center,,,1586969,2437754,4/12/2018,5/23/2018,Y,N,Non-Serious,Other,Bruise,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,42251,First Baptist Preschool of Portland,,0,1586887,2437811,4/12/2018,5/2/2018,Y,N,Non-Serious,Contusion,,Self-Inflicted,bumped heads with another child,Child in care at the operation
Licensed Center,810773,First Baptist Learning Center,,,1586965,2437768,4/12/2018,6/5/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,816786,Davids Place Head Start,46740676,70643483,1586972,2438039,4/12/2018,5/11/2018,Y,N,Non-Serious,Laceration,,Discipline,grabbing with hand,Child in care at the operation
Licensed Center,816786,Davids Place Head Start,46740676,70643483,1586972,2438039,4/12/2018,5/11/2018,Y,N,Non-Serious,Laceration,,Discipline,grabbing with hands,Child in care at the operation
Licensed Center,827879-785,KLC dba Champions @ Jessup Elementary,,0,1586850,2437680,4/12/2018,5/1/2018,Y,N,Non-Serious,Other,vaginal bleeding,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,850836,Bledsoe Elementary Alphabest,,,1587040,2437924,4/12/2018,6/7/2018,Y,N,Non-Serious,Other,Broken tooth,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,857700-3770,Day Nursery of Abilene Vine Street Center,46740573,70643201,1586963,2438026,4/12/2018,5/10/2018,Y,N,Non-Serious,Other,Bruising,Indoor Equipment/Structure,,Child in care away from the operation
Licensed Center,860537,Kids Unlimited,,,1586923,2437892,4/12/2018,4/27/2018,Y,N,Serious,Fracture,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,860817,Primrose School of Shady Hollow,,,1586860,2437732,4/12/2018,4/12/2018,Y,N,Serious,Laceration,,Indoor Equipment/Structure,Cabinet,Child in care at the operation
Licensed Center,906053,Acrokids Academy,,0,1586889,2437820,4/12/2018,5/10/2018,Y,N,Non-Serious,Fracture,,Self-Inflicted,accidental fall,Child in care at the operation
Licensed Center,911549,Kidz Depot,,,1586882,2437788,4/12/2018,5/1/2018,Y,N,Non-Serious,Other,nose,Other,,Child in care at the operation
Licensed Center,938586,Valero Family Center,,0,1586929,2437802,4/12/2018,5/8/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1214566,Future Minds Child Care of Belton,,0,1586991,2438134,4/13/2018,4/19/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,123451-684,La Petite,,0,1587039,2438237,4/13/2018,5/2/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
