STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
746.4813(b) - Measurement of Use Zone for Rotating and Rocking Equipment (Standing or Riding),0,1,8,7,False
"748.393(b)(2) - Active child record-Includes known allergies and chronic conditions or ""no known allergies"" on exterior of record or in a clearly visible location",0,1,11,7,False
746.4409 - Location of Toilets,0,0,2,7,False
747.901(1) - Personnel Records - Dates of Employment,0,1,10,7,False
748.1531(d) - Medical care-Obtain follow-up medical treatment as recommended by the health-care professional,0,1,4,7,False
746.4601(2) - Safety Requirements for Active Play Equipment - Used According to Manufacturer's Instructions,0,0,0,7,False
749.577(2) - Active child record-Includes known allergies and chronic conditions or,0,2,7,7,False
747.3211(4) - Caregiver Handwashing After Diapering a Child,2,10,16,7,False
746.801(17) - Required Records Maintained and Made Available - Record of Pest Extermination,0,0,0,7,False
"748.2551(d)(1) - EBI Implementation-Caregiver must make every effort to protect the child's privacy, including shielding the child from onlookers",0,0,1,7,False
745.625(a)(6) - Initial background check submitted - between 90 days before and 90 days after non-client resident becomes 14 years,0,10,8,7,False
"748.363(8) - Personnel records - Include signed dated statement by the employee that he must immediately report suspected child abuse, neglect, or exploitation.",0,0,0,7,False
746.1301(4) - Training Requirements for Employees and Caregivers - CPR and First Aid,0,0,0,7,False
747.2105(b) - Use of TV/Video/Computer- guidelines,2,10,16,7,False
746.2431(2) - Infant Daily Report - Times and Amount of Food,0,2,17,7,False
747.3113(2) - Keep Record of Substitutions,0,0,3,7,False
"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",0,5,19,7,False
749.1401(d) - General medical requirements-Obtain follow-up medical treatment as recommended by the health-care professional,0,0,8,7,False
746.505 - Notify Parents of Change in Policy,0,0,2,7,False
746.3001(3) - Field Trips - Written List of Children,0,1,5,7,False
747.605(8) - Required Admission Information - Transportation Permission,2,13,21,7,False
"749.1003(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",0,3,17,7,False
746.1315(d) - CPR Training Must Not be Obtained Through Self-Instructional Training,0,0,0,7,False
747.1303(2) - Training Requirements for Primary Caregiver - Annual Training,38,229,231,8,False
744.3817(a)(2) - Required Equipment in Vehicles - Emergency Medical Information,0,0,4,8,False
744.501(1) - Written Operational Policies -Operating Times,0,0,4,8,False
747.1007(6) - Primary Caregiver in Registered Home Qualifications - Negative TB Exam,0,0,0,8,False
746.801(9) - Required Records Maintained and Made Available - Menus,0,0,2,8,False
746.2803(3) - Positive Methods of Discipline and Guidance - Redirecting Behavior,0,4,27,8,False
746.501(3) - Written Operational Policies -Exclusion Criteria,0,0,2,8,False
746.5403(a) - Gas Leak Inspection - Natural Gas,0,0,3,8,False
746.1317(c)(3) - Training Criteria - Evaluation Tool,0,0,0,8,False
747.4605(a) - Measurement of Use Zone for Slides - in Front of Access and on Sides,1,5,9,8,False
747.4603 - Measurement of Use Zone for Stationary Equipment,1,8,10,8,False
"749.1957(8) - Other Prohibited Discipline-Humiliating, shaming, ridiculing, rejecting, or yelling at a child",0,2,20,8,False
746.501(b)(1) - Operational Policies - Inform Parents That They May Visit Center Anytime During Operating Hours,0,0,0,8,False
748.3391(a) - Bathrooms-Must be maintained in good repair & kept clean,0,3,24,8,False
744.801(10) - Required Records Maintained and Made Available - Playground Maintenance Records,0,0,3,8,False
747.1309(j) - Primary Caregiver Annual Training - Self- Instructional up to 80%,0,0,1,8,False
744.201(8) - Liability Insurance Maintained,0,1,6,8,False
"749.1957(1) - Other Prohibited Discipline-Any harsh, cruel, unusual, unnecessary, demeaning, or humiliating discipline or punishment",0,2,16,8,False
746.3903(b) - Animals at Center - Statement of Health from Veterinarian,0,3,4,8,False
746.3415(1) - Employee Handwashing Before Eating or Handling Food,0,1,12,8,False
746.3805(a)(1) - Administering Medication - According to Label Directions,0,2,14,8,False
746.1015(b) - Director Qualifications - 13 or More Children Renewal Required,0,1,9,8,False
746.1015 - Director Qualifications - 13 or More Children,0,0,0,8,False
746.501(a)(5) - Written Operational Policies -Emergencies,0,0,0,8,False
"748.2855(a) - EBI Documentation-Caregiver must document EBI in child's record as soon as possible, but no later than 24 hours after initiation of the intervention",0,2,13,8,False
746.3701(2) - Safety - 220-Volt Electrical Connections Covered,0,2,8,8,False
744.303(4) - Report Change in Director,0,0,0,8,False
"746.5607(d)(5) - Safety Seat System - 4 Yrs and More Than 40 lbs; 5 - 7 Yrs and under 4 ft, 9 in",0,7,28,8,False
746.3313(2) - Date Menus and Keep Copies,0,4,26,8,False
746.3505(c) - Diapering Procedures - Use Disposable Gloves,0,5,20,8,False
746.5607(c) - Child Passenger Safety Seat System - Child 12 Years and Younger Must Not Ride in Front Seat,0,0,0,8,False
746.1003(5) - Director Responsibilities - Direct Care for No More Than 10 Hours,0,2,5,8,False
746.5607(b) - Child Passenger Safety Seat System - Secure Each Child in Appropriate System According to Manufacturer's Instructions,0,0,0,8,False
746.5305 - Mounting of Fire Extinguishers,0,5,21,8,False
748.1101(b)(4)(A)(v) - Children's rights- To be free from being subjected to remarks that belittle or ridicule the child or the child's family,0,0,0,8,False
746.2201(b) - Documentation of Special Care Needs on File and Used in Planning Activities,0,1,2,8,False
744.1301(4) - Training Requirements for Employees - Annual Training for Directors,0,3,10,8,False
749.511 - Serious Incident Documentation-Documented in written report,0,3,4,8,False
747.5417(1) - Required Equipment in Vehicles - List of Children,1,10,20,8,False
746.1013(a)(1) - Director's Absence -  Caregiver in Charge Knows in Charge,0,3,16,8,False
744.3553(3) - Emergency Preparedness Plan - Essential Documentation,0,0,3,8,False
"747.4401(7) - Active Play Equipment - No Pinch, Crush, or Shear Points",3,6,8,8,False
746.4403(a) - Handwashing Sink in Diaper-Changing Area,0,5,15,8,False
744.3559(2) - Sheltering Drill for Severe Weather- 4 times in a calendar year,0,0,8,8,False
744.501(6) - Written Operational Policies -Parental Notifications,0,0,1,8,False
"748.681(2) - Caregiver qualifications- HS diploma or GED from program recognized by TEA, TPSAC, other state or documentaion of equivalency from home schooling",0,0,0,8,False
746.501(a)(16) - Written Operational Policies -Field Trips,0,0,0,8,False
744.2601(1) - Safety - Electrical Outlets Covered Areas Accessible to Children Under 5,0,2,14,8,False
744.501(20) - Written Operational Policies- Instructions for Contacting DFPS,0,1,10,8,False
746.4503(c) - Napping Floor Mats Marked with Sleeping Side Distinguished,0,2,16,8,False
746.3305(b) - Daily Food Needs for 3 Years - 5 Years,0,1,12,8,False
746.2431(3) - Infant Daily Report - Times of Diaper Changes,0,4,8,8,False
748.399(a) - Records Available for Licensing-all active records immediately available for review and reproduction,0,0,4,8,False
"748.363(6) - Personnel records-Include notarized Licensing Affidavit for Applicants for Employment form as specified in Human Resources Code, 42.059",0,0,9,8,False
746.2207(c)(2) - Use of TV/Video- Age-appropriate,0,2,17,9,False
746.1329(a)(5) - Documentation of Training Requirements - Trainer's Qualifications,0,1,7,9,False
745.617 - Required background checks-individuals not involved in but who are regularly or frequently present in the area of the building,0,8,13,9,False
746.705 - Incident/Illness Report Form Signed,0,4,15,9,False
748.535(1) - Child-care administrator responsibilities-Daily supervision and on-site administrative responsibility for the overall operation,0,0,1,9,False
746.2401(3) - Basic Requirements for Infants - Holding and Comforting,0,1,7,9,False
744.305(a)(2) - Report Child Injury Requiring Medical Treatment,0,2,13,9,False
746.801(13) - Required Records Maintained and Made Available - Gas Inspection Report,0,0,0,9,False
747.1501(c)(3) - Additional Responsibilities of Caregivers - Know Children's Names and Ages,0,1,8,9,False
746.3313(2) - Daily Menus - May Rotate if Keep Record of Dates Menus Used,0,0,0,9,False
"746.1329(b) - Documentation CPR-1st aid includes participant's name, training date, training title, trainer's name, length of training and expiration date",0,3,10,9,False
746.801(1) - Required Records Maintained and Made Available - Children's Records,0,3,12,9,False
746.3503(b) - Diaper Changing Equipment - No Play or Eating Surfaces Used,0,2,14,9,False
"746.801(10) - Required Records Maintained and Made Available - Safety Documentation for Emergency Drills, Fire Extinguishers, & Smoke Detectors",0,0,0,9,False
746.2803(4)(D) - Positive Methods of Discipline and Guidance - Brief Supervised Separation,0,0,0,9,False
747.1313(d) - First Aid and CPR Training - Not Obtained through Self-Instructional Training,2,8,9,9,False
746.3401(b) - Annual Sanitation Inspection - Conducted Local Sanitation Official,0,1,5,9,False
746.501(a)(14) - Written Operational Policies -Transportation,0,0,0,9,False
746.305(a)(6) - Report Change in Controlling Person,0,3,16,9,False
747.3307(b) - Diapering Procedures - Wash Infant's Hands,0,1,8,9,False
746.3415(2) - Employee Handwashing Before Feeding a Child,0,3,7,9,False
748.1335 - Initial Service Plan-Complete the initial service plan within 45 days after admission,0,0,0,9,False
746.403(a) - Posting Requirements - Prominent & Public,0,1,8,9,False
746.4905 - Acceptable Loose-fill Surfacing,0,0,9,9,False
747.4607(a) - Measurement of Use Zone for Swings - in Front and Rear,1,1,7,9,False
"746.3407(13) - Using, Storing and Disposing of Hazardous Materials",0,0,1,9,False
746.3415(7) - Employee Handwashing After Handling or Cleaning Bodily Fluids,0,0,0,9,False
746.2419(1) - Requirements for Feeding Infants-Hold through 6-months,0,1,11,9,False
747.2319(6) - Requirements for Feeding Infants - No Walking or Sleeping with Bottle or Cup,0,10,10,9,False
"744.2507(10) - Mark Cleaning Supplies, Toxic Materials; Keep Separate from Food and Inaccessible to Children",0,1,5,9,False
747.2503(1)(A) - Pre-Kindergarten Age - Interest Centers Used Independently,0,0,0,9,False
746.2805(9) - Prohibited Punishments - Using Inappropriate Long Period of Silence or Inactivity Including Requiring Child to Remain in a Restrictive Device,0,0,0,9,False
746.2905 - Children Not Required to Sleep,0,4,19,9,False
"749.1003(b)(1)(B) - Children's rights-Safety & care including right to be free from abuse, neglect and exploitation",0,0,0,9,False
746.3405 - Corrections Made to Annual Sanitation Inspection,0,5,18,9,False
746.1305(a)(1) - Pre-service Training- Developmental Stages,0,2,13,9,False
746.4913 - Required Documentation for Unitary Surfacing Materials,0,2,13,9,False
747.603(a)(6) - Children's Records - Vision and Hearing Screening,0,0,0,9,False
749.535(a)(1) - Active records-All documentation in the record no later than 30 days after the occurrence or event,0,2,14,9,False
"748.1583(a) - TB exam-Persons over 1 yr old who live, work, volunteer at facility have exam w/in 30 days, unless person had previous exam that meets requirements",0,5,11,9,False
744.901(10) - REQUIRED PERSONNEL RECORDS- Orientation Completed,0,0,1,9,False
"746.2409(a)(1) - Safety Requirements for Cribs - Snug Fitting, Firm, Flat Mattress Designed for Use in Crib",0,0,0,9,False
746.601(c) - Provide Access to Children's Records - Licensing,0,1,7,10,False
HRC42.052(d) - Illegal Operation - Not Registered,8,25,34,10,False
747.5417(2) - Required Equipment in Vehicles - Emergency Medical Information,0,9,18,10,False
747.603(a)(6) - Children's Records - Hearing And Vision Screening,0,8,23,10,False
"749.1417(a) - TB exam-Persons over 1 yr old who live, work, volunteer at operation have exam w/in 30 days, unless person had previous exam that meets requirements",0,1,18,10,False
747.603(b) - Children's Records- Kept at home and available for review,2,2,6,10,False
746.605(2) - Required Admission Information - Address and Phone Number,0,5,12,10,False
746.501(a)(11) - Written Operational Policies - Immunizations,0,0,0,10,False
746.501(4) - Written Operational Policies -Medication,0,1,10,10,False
746.3407(1) - Toys and Equipment to be Sanitized Set Aside,0,1,5,10,False
746.5207(a) - Emergency Evacuation and Relocation Diagram,0,2,15,10,False
744.603(a)(2) - Children's Records - Admission Information,0,4,6,10,False
746.501(19) - Written Operational Policies- Procedures for Parents Participation,0,0,17,10,False
747.607 - Signed Admission Form,5,13,29,10,False
"747.2309(a)(1) - Safety Requirements for Cribs - Snug Fitting, Firm, Flat Mattress",2,7,7,10,False
746.1615 - Child/Caregiver Ratio - Opening/Closing,0,2,6,10,False
747.301(7) - Notification of Planned Closure,0,1,6,10,False
746.4751(d) - Maintenance Procedures for Active Play - Keep Records for 3 Months,0,5,16,10,False
746.1613(b) - Naptime Child/Caregiver Ratio,0,1,4,10,False
"749.3041(7) - Physical Environment-Foster home must ensure that flammable or poisonous substances are stored out of reach of children, as needed",0,1,10,10,False
747.4303(a)(1) - Individual Crib for Each Infant to Sleep In,0,16,29,10,False
746.3415(9) - Employee Handwashing After Outdoor Activities,0,0,5,10,False
748.1331(a) - Preliminary Service Plan-Complete plan that addresses child's immediate needs within 72 hours of admission,0,0,3,10,False
744.501(21) - Written Operational Policies- Emergency Preparedness Plans,0,3,16,10,False
"749.3041(1) - Physical Environment-Foster home must ensure that home is safe for children, kept clean, and in good repair",0,4,13,10,False
747.901(6) - Personnel Records-Proof of Background Check Request,0,0,1,10,False
747.2321(a) - Written Feeding Instructions - Signed and Dated by Parent or Health-Care Professional,0,0,0,10,False
747.905(1) - Personnel Records for Household Members -TB Test,1,11,8,10,False
746.3317(7) - Food Service and Preparation Requirement - No Foods That Present Choking Risk,0,7,19,10,False
747.2319(5) - Requirements for Feeding Infants - Label Bottles/Cups,3,16,12,10,False
744.627(a) - Sign-in and Sign-out Tracking System,0,0,10,10,False
746.4309 - Fenced Outdoor Activity Space -Gates Locked,0,1,18,10,False
746.2428 - No swaddling of an infant,0,10,41,10,False
746.4311 - Outdoor Activity Space Accessible By Safe Route or get required approval of plan,0,0,4,10,False
748.3101(2) - Fire Inspection-Must have fire inspection at least once every 12 months from date of last fire inspection,0,3,11,10,False
747.3113(4) - Menus Available to Licensing,0,10,7,10,False
746.1105(2) - Minimum Qualifications Child Care Center Employees and Caregivers - TB Exam,0,3,18,10,False
"744.2507 - Maintenance of Building, Grounds and Equipment",0,3,8,10,False
744.1005(a)(1) - Director Responsibilities - Operate in Compliance,0,4,7,10,False
747.619 - Immunization Record Upon Admission,2,17,27,10,False
746.3425(1) - Caregivers Must Wear Gloves When Handling Blood or Bodily Fluids,0,0,1,10,False
744.1301(5) - Training Requirements for Employees - CPR and First Aid,0,5,18,10,False
744.401(3) - Posting Requirements-Keeping Children Safe,0,0,1,10,False
747.1107(a)(5) - Primary Caregiver in Licensed Home Qualifications - Proof of Training (A-J),0,0,5,10,False
747.3501(4) - Safety - Sliding Door Glass Marked,2,10,19,10,False
747.801(2) - Records Maintained and Made Available - Infant Feeding Instructions,3,5,5,10,False
744.605(16) - Required Admission Information-Food Allergy Emergency Plan,0,0,0,10,False
747.3303(b) - Diaper Changing Equipment - No Play or Eating Surfaces Used,1,12,14,10,False
747.501(5) - Written Operational Policies -Discipline,5,3,20,10,False
746.2401(6) - Basic Requirements for Infants - Free from Choking Objects,0,6,38,10,False
748.2953(b) - Evaluation-Operation's quarterly data on emergency behavior interventions must be reported to Licensing quarterly,0,4,8,10,False
746.3001(6) - Field Trips - Children Identified with Center,0,0,0,11,False
747.2309(a)(2) - Safety Requirements for Cribs - Snug Fitting Sheets,3,10,14,11,False
746.2403(3) - Infant Care Area - Separate from Older Children,0,3,16,11,False
746.2405(1) - Infant Care Area Furnishings and Equipment - Adult-sized Chair,0,2,17,11,False
746.607 - Signed Admission Form,0,3,11,11,False
748.2101(2) - Medication Storage-Keep medication inaccessible other than to employees responsible for stored medication,0,1,4,11,False
746.3427 - Pest Extermination,0,4,25,11,False
749.1463(b)(5) - Administration of Medication-Ensure the child has taken the medication as prescribed,0,4,10,11,False
747.3619 - Food Allergy Emergency Plan Signed by Parents and Health Care Professional,0,0,0,11,False
747.905 - Personnel Records for Household Members Not Used in Child/Caregiver Ratio,1,7,13,11,False
747.605(10) - Required Admission Information - Water Activity Permission,2,9,18,11,False
744.901(8) - Required Personnel Records- Photo Identification,0,4,20,11,False
746.2901 - Supervised Naptime Daily,0,1,14,11,False
748.3301(i) - Physical Site-Equipment and furniture must be safe for children and must be kept clean and in good repair,0,5,38,11,False
746.3807(1) - Storage of Medication - Inaccessible to Children,0,5,21,11,False
746.5315 - Smoke-Detection System Tested,0,3,19,11,False
746.5607(a) - Safety Seat System - Secure Each Child,0,7,33,11,False
746.1003(6) - Director Responsibilities - Substitutes Called When Needed,0,1,6,11,False
744.801(6) - Required Records Maintained and Made Available - Liability Insurance,0,0,12,11,False
748.2551(b)(2) - EBI Implementation-The caregiver must consider the permitted types of emergency behavior intervention,0,2,12,11,False
746.2905(1) - Children Not Required to Sleep - May Not Force Child to Sleep,0,0,0,11,False
746.2417(1) - Activities for Infants -Outdoor Play Daily,0,0,0,11,False
746.1301(5) - Training Requirements for Employees and Caregivers - Transportation Training,0,0,0,11,False
744.501(24) - Written Operational Policies - Vaccine Preventable Diseases,0,0,0,11,False
"744.401(5) -  POSTING REQUIREMENTS - DAILY MENU, INCLUDING ALL SNACKS MEALS SERVED PROGRAM",0,0,5,11,False
"747.1501(c)(1) - Responsibilities of Employees and Caregivers -Competency,Good Judgment,Self-control",7,23,37,11,False
749.2593(a)(2) - Supervision-The caregiver is responsible for being aware of and accountable for each child's on-going activity,0,2,13,11,False
744.2601 - Safety - Areas Free From Hazards,0,6,24,11,False
746.2803(4)(C) - Positive Methods of Discipline and Guidance - Redirecting Behavior,0,0,0,11,False
"745.4151(c)(4)(A) - Mandatory drug testing-all applicants intended to be hired are subject to pre-employment testing, must have results prior to child access",0,4,6,12,False
746.3809 - Medication No Longer Used,0,6,39,12,False
746.801(16) - Required Records Maintained and Made Available - Sanitation Inspection Report,0,3,24,12,False
747.501(2) - Written Operational Policies -Exclusion Criteria,2,4,12,12,False
746.801(12) - Required Records Maintained and Made Available - Sanitation Inspection Report,0,0,0,12,False
747.1309(f)(2) - Primary Caregiver Annual Training - More Than 5 Years Experience,0,0,1,12,False
748.685(c)(6) - Implement and follow the children's service plans.,0,1,8,12,False
746.603(a)(8) - Sign-in and Sign-out Logs,0,6,36,12,False
746.501(a)(13) - Written Operational Policies - Enrollment,0,0,0,12,False
746.5207(a)(2) - Emergency Evacuation and Relocation Diagram - Two Exits from Each Room,0,2,11,12,False
747.801(4) - Records Maintained and Made Available - Menus,0,0,0,12,False
747.1301(1) - Orientation Required for Caregivers-Overview of Minimum Standards,0,0,2,12,False
746.501(8) - Written Operational Policies - Meals,0,0,5,12,False
746.4911(a) - Installation of Unitary Surfacing Materials - to Manufacturer's Specifications,0,0,7,12,False
746.2205(a)(3) - Written Activity Plan - Outdoor Activities AM and PM,0,4,25,12,False
"747.613(b) - Required Immunizations Records, Exceptions, and Exemptions Current",0,0,0,12,False
746.3505(a) - Diapering Procedures - Caregiver's Hands Washed,0,4,13,12,False
"748.2307(1) - Other Prohibited Punishments-any harsh, cruel, unusual, unnecessary, demeaning, or humiliating discipline/punishment",0,3,9,12,False
"749.1541(a) - Medication Record-Maintain cumulative record of prescription medications dispensed to child, include nonprescription meds for child under five yrs old",0,1,23,12,False
"748.1101(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",0,0,29,12,False
744.401(1) - Posting Requirements-License,0,0,2,12,False
HRC42.059 - Employment Affidavit,0,9,30,12,False
744.3817(a)(6) - Required Equipment in Vehicles - First-aid Kit,0,3,6,12,False
747.3205 - Sanitizing,7,30,48,12,False
746.2415(1) - Prohibited Equipment for Infants - Baby Walkers,0,5,22,12,False
746.801(17) - Required Records Maintained and Made Available - Gas Inspection Report,0,1,10,12,False
"748.1003(a) - Child/caregiver ratio-Caregiver may care for 5 children if any require tx svcs, 8 children if not; children under 5 yrs old count as 2 children",0,3,27,12,False
747.2309(a)(9) - Safety Requirements for Cribs - Documentation that Crib Meets Applicable Federal Rules,0,0,0,12,False
746.5405 - Documentation of Gas Leak Inspection,0,5,21,12,False
746.1301(3) - Training Requirements for Employees and Caregivers - Annual Training,0,0,0,12,False
746.303(5) - Report Change in Director,0,7,26,12,False
"747.1501(c)(1) - Responsibilities of Employees and Caregivers -Competency, Good Judgment, Self-control",0,0,0,12,False
"748.3351(1) - Interior Space-Provide living space, appropriate furnishings, & bathroom facilities that are safe, clean and maintained in good repair",0,0,0,12,False
747.2705(4) - Prohibited Punishments - Hitting with Hand or Instrument,0,5,10,12,False
746.501(a)(22) - Written Operational Policies- Instructions for Contacting Licensing Office/Online and TX Abuse & Neglect Hotline,0,0,0,12,False
746.1203(7) - Responsibilities of Caregivers - Interact positively with children,0,3,21,12,False
747.801(6) - Records Maintained and Made Available - Pet Vaccinations,0,0,0,13,False
746.605(9) - Required Admission Information - Field Trip Permission,0,2,19,13,False
746.3701(9) - Safety - Televisions Anchored to Prevent Tip Over,0,0,0,13,False
746.2211 - Storage of Activity Plan,0,0,9,13,False
746.501(a)(8) - Written Operational Policies - Suspension and Expulsion,0,0,0,13,False
746.5613 - One Seat Belt Per Person,0,7,15,13,False
747.5101 - Fire- Extinguishing System,0,4,4,13,False
747.901(3) - Personnel Records - TB Test,0,7,11,13,False
747.3607(1) - Storage of Medication - Inaccessible to Children,2,17,22,13,False
749.2913(b)(2) - Fire Extinguisher-Have a maintenance check once a year by a person qualified to inspect fire extinguishers.,0,0,0,13,False
747.1107(7) - Primary Caregiver in Licensed Home Qualifications - Proof of Training (A-J),0,0,0,13,False
746.2703(1) - Space Requirements for School-age - Interest Centers,0,0,18,13,False
746.2807 - Employees Discipline Own Children,0,0,13,13,False
746.501(a)(26) - Written Operational Policies - Procedures for Health Checks,0,0,0,13,False
748.2151(c)(6) - Medication record - must include name & signature of person who administered each medication,0,0,0,13,False
749.1521(1) - Medication Storage-Store medication in a locked container,0,5,32,13,False
747.605(1) - Required Admission Information - Name and Birthdate,3,7,7,13,False
747.4015 - Caring for Children Above or Below Ground Level,1,5,25,13,False
747.3203(8) - Garbage Inaccessible to Children; Maintained in Sanitary Manner,1,13,9,13,False
744.1317 - Transportation Safety Training,0,6,13,13,False
746.5619 - Plan to Handle Transportation Emergencies,0,4,9,13,False
746.1507(1) - Determining Child/Caregiver Ratios - Basis,0,4,17,13,False
744.201(1) - Policies Comply with Rules,0,3,11,13,False
746.1317(d)(3) - Training Criteria - Evaluation Tool,0,0,2,13,False
746.401(1) - Posting Requirements - License,0,1,4,13,False
746.2405(4) - Infant Care Area Furnishings and Equipment - Hand-washing Sink,0,2,13,13,False
746.4601(6) - Safety Requirements for Active Play Equipment - Anchoring devices Below Level of Playing Surface,0,2,16,13,False
746.631(b) - Caregivers Have Access to Tracking System,0,1,9,13,False
746.501(a)(9) - Written Operational Policies - Safe Sleep for Infants 12 Months and Younger,0,0,0,13,False
"746.201(5) - Reporting Suspected Abuse, Neglect, Exploitation",0,3,13,13,False
748.1337(b)(1)(D)(ii) - Initial Service Plan-Include instructions to caregivers about level of supervision required,0,0,0,13,False
746.3421(a) - Infant Handwashing - Individual Cloth,0,2,16,13,False
744.3817(a)(5) - Required Equipment in Vehicles - Fire Extinguisher,0,3,9,14,False
"748.2303(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",0,1,16,14,False
746.613(b) - Immunization Required Upon Enrollment,0,10,37,14,False
746.801(6) - Required Records Maintained and Made Available - Activity Plans,0,2,3,14,False
746.1315(d) - CPR and First Aid Training Must Not be Obtained Through Self-Instructional Training,0,6,31,14,False
748.2003(b)(5) - Administration of prescription medication-Ensure the child has taken the medication as prescribed,0,0,0,14,False
746.5537(a)(2) - Electronic or Battery-Operated Carbon Monoxide Detector-Check All Detectors Monthly,0,5,27,14,False
"746.801(11) - Required Records Maintained and Made Available - Fire Inspection Report, Including Written Approval for Above/Below Ground Level Care",0,0,0,14,False
746.4701(c) - Requirements for Swings - Not Attached to a Composite Structure,0,6,11,14,False
746.501(a)(18) - Written Operational Policies - Providing & Applying Insect Repellant and Sunscreen,0,0,0,14,False
746.3317(8) - Food Service and Preparation Requirement - Cover All Stored Food,0,5,20,14,False
744.201(4) - Designating Director,0,3,21,14,False
746.3501(1) - Diaper Changing Steps- Prompt,0,8,11,14,False
747.2101(a) - Planned Activities,3,9,9,14,False
744.1601 - Child/ Caregiver Ratio,0,1,24,14,False
744.1311(a) - Operation and Program Director Annual Training 20 Hours Required,0,4,13,14,False
746.623(a) - Immunization Records,0,2,17,14,False
746.4907(c) - Installation and Maintenance of Loose-fill Surfacing - Posts Marked to Proper Depth,0,9,33,14,False
747.901(7) - Personnel Records- Photo Identification,0,6,17,14,False
748.2463(3) - Emergency Behavior Intervention-Never used as a means to get a child to comply,0,0,15,14,False
746.2803(4) - Discipline - Positive Methods of Discipline and Guidance,0,0,0,14,False
747.501(6) - Written Operational Policies - Safe Sleep for Infants,0,0,0,14,False
746.2419(3) - Requirements for Feeding Infants - Never Prop Bottles,0,7,28,14,False
744.2517(1) - Children Handwashing Before Eating,0,3,14,14,False
"747.3505(b) - Ammunition Kept Separate, Locked and Inaccessible to Children",0,6,17,14,False
747.2315(1) - Prohibited Equipment for Infants - Baby Walkers,8,33,40,14,False
747.901(9) - Required Personnel Records- Licensed Homes - signed dated statement that caregiver attended abuse/neglect training,0,2,13,14,False
747.3501(5) - Safety - Play Materials and Equipment Safe,4,13,21,14,False
746.2429 - Covering Infant's Head or Crib,0,5,17,14,False
746.2803(4) - Positive Methods of Discipline and Guidance - Brief Supervised Separation,0,6,28,15,True
"746.3805(b)(1) - Administering Medication - Original Container with Child's Name, Date",0,8,26,15,False
746.3501(6) - Diaper Changing Steps-Supplies Kept Out of Child's Reach,0,11,54,15,False
"746.3501(5) - Diaper Changing Steps-Label Powders, Lotions, Etc. with Name",0,5,19,15,False
747.801(12) - Records Maintained and Made Available - Children's Product Certification,0,0,0,15,False
744.1203(5) - Responsibilities of Caregivers - Children in Control,0,4,24,15,False
749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,0,3,25,15,False
746.4813(a) - Measurement of Use Zone for Rotating and Rocking Equipment (Sitting),0,2,25,15,False
"746.2805(7) - Prohibited Punishments - Using Harsh, Abusive or Profane Language",0,8,23,15,False
746.1003(3) - Director Responsibilities - Employee Assignments,0,1,21,15,False
746.2426 - Infant May Not Sleep in a Restrictive Device,0,0,0,15,False
746.5617(b) - Driver Has Current Driver's License,0,8,26,15,False
746.2417(1) - Activities for Infants -Outdoor Play,0,5,28,15,False
746.1057 - Director Certificate Not Renewed,0,3,9,15,False
746.3313(1) - Daily Menus - Record Comparable Substitutions,0,0,0,15,False
744.901(1) - Required Personnel Records - Dates of Employment,0,2,7,15,False
746.201(2) - Written Personnel Policies,0,6,22,15,False
"747.3505(a) - Weapons In Homes Kept in Locked Cabinet, Inaccessible to Children",0,10,16,15,True
"746.1201(5) - Responsibilities of Employees and Caregivers-Report Suspected Child Abuse, Neglect or Exploitation",0,1,11,15,False
747.501(12) - Written Operational Policies - Procedures for Health Checks,0,0,0,15,False
745.693(a)(2) - Conditions or restrictions placed on a person's presence - For an approved risk evaluation,0,1,18,15,False
"744.3553(1) - Emergency Preparedness Plan - Evacuation, Relocation, Sheltering/Lock-Down Procedures",0,0,7,16,False
HRC42.041(a) - Illegal Operation - Not Licensed,2,10,41,16,False
746.3003 - Field Trips - Notification to Parents,0,2,17,16,False
746.605(10) - Required Admission Information - Water Activity Permission,0,7,22,16,False
746.4601(5) - Safety Requirements for Active Play Equipment - Securely Anchored,0,4,23,16,False
746.1303(b)(5) - Orientation-Precautions in transportation,0,0,1,16,False
746.5105 - Corrections Made to Fire Inspection,0,4,19,16,False
HRC42.04412(a) - Interference with an investigation,1,6,13,16,False
747.5007(4) - Emergency Evacuation and Relocation Diagram - Designated Location Inside,10,15,19,16,False
746.1303(a)(1) - Orientation-Minimum Standards,0,0,1,16,False
746.501(20) - Written Operational Policies Procedures for Parents Review Licensing Rules and Reports,0,4,40,16,False
746.4805(b) - Measurement of Use Zone for Slides - Six Feet High or Less,0,4,20,16,False
746.2605(1)(A) - Furnishings and Equipment for Pre-Kindergarten Age Interest Centers Clearly Defined,0,2,23,16,False
746.801(5) - Required Records Maintained and Made Available - Employees' Attendance,0,3,15,16,False
746.501(16) - Written Operational Policies - Animals,0,2,10,16,False
