NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_ID
There are supervision concerns as the caregivers were not properly supervising the children on the slides where a child had fallen and could have potentially receive injuries.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,06/28/2016,101027
"Child had an injury to a vital body part, which was inflicted by caregiver and consistent with physical abuse.","749.1003(b)(1)(B) - Children's rights-Safety & care including right to be free from abuse, neglect and exploitation",High,04/03/2017,273849
"Based on interviews with children, staff and a parent, it was determined that there have been a few incidents in which children were not kept under control, causing injuries to some children while fighting.",746.1203(5) - Responsibilities of Caregivers - Children in Control,Medium High,05/15/2017,100830
Operation failed to contact parent in a timely manner after a  child sustained  an injury for which he later received medical attention.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,08/29/2017,210686
"Based on information obtained, children were not adequately supervised that caused a child to sustain unexplained injuries  while in care.",747.1501(c)(4) - Additional Responsibilities of Caregivers- Supervision of Children Adjusting Appropriately for Different Ages and Abilities,High,07/21/2017,1230238
"During the investigation it was determined that a caregiver used inappropriate discipline by aggressively grabbing a child by the arm resulting to marks and bruises.    Caregiver was taken out of ratio, placed on administrative leave and later terminated.","746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",High,04/18/2016,1149177
An incident report was not filled out on the day that a child received a bruise from a fall due to the teacher forgetting.  This was CORRECTED when an incident report was filled out on the next day when the parents made it aware to the teacher about the bruise.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,08/22/2016,742008
"A caregiver did not demonstrate competency, or good judgment when providing inaccurate information regarding an injury. The caregiver also signed the incident report with inaccurate information on it.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,03/08/2017,197299
"This standard was evaluated as part of an investigation and found to be deficient. The operation did not report a child injury that required medical attention to Licensing, as required. This was corrected during the inspection when a written statement was received.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,03/28/2017,497090
Operation failed to timely report an incident where a child was injured and required medical treatment.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,03/29/2017,101335
"Child had 2 seizures - March 21 and April 29, did not notify CCL.  Note: Corrected at inspection - standards 746.305(a)(2) was discussed with the owner, director and assistant director and a statement was written and stated that incident requires medical attention in the future will be reported to CCL.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/04/2016,309681
"A baseboard in a classroom was observed broken and detached, leaving space between the wall for children to place their fingers in. Another baseboard in a classroom was observed missing, and screws were protruding.    This was corrected at inspection when the director placed shelves in front of the baseboard and removed the screws.     A mirror in a school age classroom was observed with a broken corner and a sharp edge which could cut children.     This was corrected at inspection when the director placed a shelf in front of the mirror to prevent children from being injured.",746.3701 - Safety - Areas Free From Hazards,Medium High,08/09/2016,776608
Two different residents developed an illness while in care and facility staff failed to provide timely medical care.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,09/20/2016,1108318
"A child in care received an injury which required medical attention. An incident report that contained all the information listed in Minimum Standards was  not completed. The operation completed an ""ouch"" report which does not include an area for a parent signature. Please complete an incident report and submit this correction by the date listed.",746.705 - Incident/Illness Report Form Signed,Low,02/15/2016,212175
An injury that required medical treatment was not reported to Licensing as required.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/03/2016,299590
Based on information gathered parents have not been properly informed when their child has received a minor injury.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,05/16/2016,1215732
Observed an electric fan on the floor in the infant classroom and not mounted or with safeguards that keep any child from being injured at the time of inspection.,"746.3701(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,03/30/2017,915248
The caregivers did not see a child get pushed and sustain an injury while in care.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,08/18/2016,1152648
Based on the information obtained a child was sent to a room unsupervised by which an injury occured while alone.  The child was able to get a hand stuck in a door for approximately a minute before the caregiver came to assist.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,09/15/2016,1118562
"A restraint was performed on a resident when an emergency situation did not exist. The resident on the facility van was verbally aggressive and possibly ""kicked at"" a caregiver. This is not an emergency situation.  An emergency situation is defined as a situation in which attempted preventative de-escalatory or redirection techniques have not effectively reduced the potential for injury, so that intervention is immediately necessary to prevent:  (A) Imminent probable death or substantial bodily harm to the child because the child attempts or continually threatens to commit suicide or substantial bodily harm; or  (B) Imminent physical harm to another because of the child?s overt acts, including attempting to harm others. These situations may include aggressive acts by the child, including serious incidents of shoving or grabbing others over their objections.     These situations do not include verbal threats or verbal attacks.",748.2455(a)(2) - Emergency Behavior Intervention-Basis for EBI is an emergency situation or to administer medication,Medium High,06/09/2017,111812
This standard was evaluated in regard to an investigation and a violation was found. The bricks were stored by the outside wall in the playground and accessible to the children and that resulted in the child's injury.,746.3701 - Safety - Areas Free From Hazards,Medium High,01/17/2017,287098
"Based on the information gathered during this investigation  good judgment and competency was not demonstrated during a science experiment. The caregiver added additional fuel to a pile of no-salt, which may have been one element that led to fire spraying out and injuring children.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,08/02/2017,127106
"A child received a serious injury to her fingers, and the caregivers could not give an accurate statement on how one child was able to tip over a heavy bookshelf that fell on the child's hand. The caregivers could not determine if one or more than one child turned over the bookshelf.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,03/03/2016,307631
There was no illness/injury report written after the  child was hit in the face by the teacher. There was  none signed and given to the parents. The parents  were not notified.,746.603(a)(7) - Children's Records - Incident/Illness Form,Medium,01/12/2017,99175
Based on information collected during the investigation the caregivers not were properly supervising the children at the time of the incident. The caregiver's did not see how the child was hurt and could not intervene quickly to prevent the child from being injured.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,11/11/2016,368406
The installation of the wall is exposed in the boys bathroom behind the door.    The step that leads on top of the play structure platform needs to be replaced.  This could pose a risk to a child falling through the step and injuring themselves.,"746.3407 - Maintenance of Building, Grounds and Equipment",Medium High,09/04/2017,269264
The opertation does not have an incident report on file for when a child got injured and recieved medical attention.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,05/21/2017,325628
Six witnesses corroborated hearing foster mother making hurtful/belittling comments regarding child in care's mother while in the presences of the child.,749.1003(b)(5)(F) - Children's rights-Adhere to the child's rights to be free from being subjected to remarks that belittle or ridicule the child or the child's family,Medium High,05/13/2016,304987
An incident occurred where a child was inappropriately disciplined while in care.  The incident was known to management when the child complained of injury to his arm and was observed crying.  The incident was not reported to Licensing.,746.305(a)(5) - Report Situation Placing Children at Risk,High,10/20/2017,102349
The backboard on the basketball court system was broken and needs to be repaired or removed. A child can be injured if the backboard breaks off.,"746.3407 - Maintenance of Building, Grounds and Equipment",Medium High,08/02/2017,264561
The facility failed to report a child that was injured in a fall. The injury required stitches.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,12/15/2017,1148393
Information obtained during the investigation showed that A child was injured and required medical attention and the incident was not reported to licensing within the appropriate time frame.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,12/11/2017,912970
The caregiver used prohibited punishment when she grabbed a child in care by picking him up and slamming him against the wall leaving nail marks and bruises on the child's arms.,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",High,07/22/2016,110320
"During the walk through on the playground, I observed 2 broken boards with sharp edges which could cause injury to a child.     Note: Pictures were taken for the file.",746.3701 - Safety - Areas Free From Hazards,Medium High,11/11/2016,931468
The caregiver did not follow the operation's procedures to notify the daycare's office and seek medical attention. When a child fell on the playground and showed signs of possible injury.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,10/12/2017,96841
Child was injured while due to inadequate supervision.,749.2593(a)(4) - Supervision-The caregiver is responsible for being able to intervene when necessary to ensure each child's safety,High,10/17/2016,296126
"Based on the information gathered during this investigation, a caregiver did not demonstrate good judgment as caregiver positioned herself over a child who was sitting on the floor when changing a another child's diaper in which the caregiver accidentally tripped on the child. The caregiver failed to communicate an incident  in  which she accidentally tripped on a child to another employee at the operation or the center director. The child remained in care at the operation with an injury for 2 hours until the child's parent picked up the child. The child's caregiver also failed to assess the child for any injuries after the incident.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,01/02/2017,977728
One caregiver did not demonstrate patience or respect towards a child after the child had been injured. The caregiver was observed raising her voice at the child and chose words that were not soothing.,746.1201(2) - Responsibilities of Employees and Caregivers -Relate to Children,High,07/27/2017,1286554
A foster parent admitted to restraining a child for less that 60 seconds but failed to complete a serious incident report explaining the reason for the restraint.,749.513(2) - Serious Incident substantial physical injury resulting from short personal restraint-document restraint and precipitating circumstances/behaviors,Medium High,02/06/2017,95720
An infant in care was disciplined inappropriately and received bruising.  An infant does not understand corporal punishment and it will not prevent any behaviors from reoccurring.,746.2803(2) - Discipline - Appropriate to Child's Level of Understanding,Medium High,08/25/2017,1244761
"Based on the information gathered and obtained during this investigation, it was determined that the operation did not have documentation to demonstrate that the unitary surfacing in place was installed and maintained according to manufacturer instructions to ensure that unitary surfacing  material would aid in prevention of injuries during a fall on to surfacing material.",746.4911(a) - Installation of Unitary Surfacing Materials - to Manufacturer's Specifications,Medium High,05/30/2016,1066088
"Based on the information gathered during this investigation a child was suspected to be injured in care, the center was notified the child received medical care by the parent, but a report to Licensing was not made.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,08/29/2017,258309
This standard was evaluated with regards to a received report. and found to be deficient. A child who was injured while in care was picked up by a person not listed on admission form as a release person.,746.605(7) - Required Admission Information - Release Information,High,08/31/2017,314262
This standard was violated when a staff member physically disciplined and injured a child in care.,"748.2303(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",High,05/02/2016,353978
Although an incident report was present in the operation it was not complete with all necessary information.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,07/11/2016,1030909
This standard was evaluated with regard to an investigation and violation was determined. The operation did not write an incident report for the incident which was required a medical attention.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,04/12/2016,95145
Caregivers allowed several children to play outside without shoes on and a child was injured by a wood chip that was lodged in her foot.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,10/12/2016,1248489
A restraint was continued after a child fell to the ground. The child had an injured collar bone.,"748.2551(c)(1) - EBI Implementation-Caregiver must minimize risk of physical discomfort, harm, or pain to the child",High,08/26/2016,322127
A child in care received several injuries during three restraints.,"748.2551(c)(1) - EBI Implementation-Caregiver must minimize risk of physical discomfort, harm, or pain to the child",High,07/07/2016,95099
A caregiver observed as another caregiver at the operation hit a child in care.  This caregiver failed to intervene to ensure the child's safety and well-being which led to the child sustaining multiple injuries.,748.685(a)(4) - Caregiver responsibility - providing the level of supervision necessary to ensure each child's safety and well-being,High,08/28/2017,1249442
The child care center did not report an injury of a child that required medical treatment within 48 hours.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,04/27/2016,261328
One caregiver was distracted using a tablet for clerical duties while caring for a group of 14 school age children in the playground which led to a child getting injured.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,09/22/2017,1266747
A child in care received a self inflicted injury due to non-complaint behavior.,748.311(6) - Serious Incident Documentation-Includes nature of the incident,Medium,10/27/2016,272125
The operation did not obtain a parents signature on an incident report within 48 hours of a child sustaining an accidental injury.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,02/18/2017,688313
A child right's were violated as the child had bruising to the leg due to being spanked with a belt by a foster parent.,"749.1003(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",High,01/24/2017,163171
Child in care complained/presented with continued illness for four days after emergency room visit on 5/2/16.  Timely follow up care was not obtained as directed in discharge instructions.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,07/15/2016,497972
The operation failed to report an injury that placed a child in care at risk.,746.305(a)(5) - Report Situation Placing Children at Risk,High,10/03/2017,1133432
During the course of this investigation it was determined that a caregiver at the operation did not supervise appropriately when a child in their care injured their finger.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,07/06/2016,138648
Based on the information gathered the caregivers were not supervising the children when a child was injured and required medical treatment.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,02/04/2016,508928
The caregiver failed to keep children in control which caused an injury to a child and allowed children to exit the classroom and building without the caregiver.,746.1203(5) - Responsibilities of Caregivers - Children in Control,Medium High,05/19/2017,153733
The operation failed to report a situation that placed a child at great risk for injury or death to licensing.,746.305(a)(5) - Report Situation Placing Children at Risk,High,05/05/2017,758084
The center did not notify licensing within the required 48 hours of a child receiving medical attention.    This was corrected at inspection when the director agreed to notify licensing within the required 48 hours after knowing a children received medical attention/treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,10/25/2016,632168
The operation did not notify Licensing within the required time frame.      Note:  This was CORRECTED AT INSPECTION when methods of notification were reviewed with the Assistant Director.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,07/29/2016,611108
"Based on the information received during the investigation, a child in care sustained injuries by a caregiver working under the auspice of the operation. The injuries sustained by the child were created because of the child's unwillingness to take a nap during nap time.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",High,08/16/2016,1243115
"Based on the information received during the investigation, a caregiver injured a child with her hand as she attempted to punish him for playing in the bathroom of the operation.",746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,High,07/08/2016,717408
"Based on the information obtained during this investigation, good judgment was not shown by operation staff as teething yarn necklaces made by the operation to aid in biting  prevention among toddler children posed a strangulation hazard to young children. Yarn material used in teething necklaces resulted in an injury to a child in care at the operation.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,04/08/2016,302913
"The operation failed to notify the parent of an injury.    This was corrected at inspection, as staff has been reminded to contact parents immediately or at the time of pickup in case of an injury.",746.307(b) - Parental Notification of Less Serious Injuries,Medium,02/16/2016,226697
A child who sustained an injury that required medical attention does not have current immunization records on file as required.,"746.613(b) - Immunization Records, Exceptions, and Exemptions Current",Medium High,12/27/2017,692588
Information obtained during the investigation revealed that the operation did not notify child care licensing of an injury that occurred to a child that required medical attention within two days.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,11/17/2017,321177
"Based on information obtained during the investigation, one staff person was a witness to an incident of domestic violence between a mother and paramour. The staff person was also informed by the child that she had been witnessed to other incidents of domestic violence.    Several staff members stated they observed   bruising to the parent on more than one occasion.    Staff also stated they child's physical appearance had worsened over recent months, and the child's behavior had become more aggressive towards other children.","HRC42.063(a) - Reporting Incidents and Violations that threaten or impair the basic health, safety or well-being of a child",High,11/08/2017,95296
The fencing around the outdoor play area has a gap between the ground and the bottom part of the fence that is large enough for a child to crawl through. The bottom of the fence also has protruding metal which could be an entanglement hazard and cause injury to a child. Please cover the hole in the fence or fill the hole in the fence by the date listed.,747.4401(4) - Active Play Equipment - No Entanglement Protrusions or Openings,High,04/24/2015,1020528
"There was no annual training available for review for the additional required topics.  (1) Emergency preparedness;   (2) Preventing and controlling the spread of communicable diseases, including immunizations;   (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);   (4) Preventing and responding to emergencies due to food or an allergic reaction;   (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and   (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1311(f) - Director Annual Training - Additional required topics,Medium,08/16/2017,1099412
When a child was injured on the playground the teacher that was present at the time of the injury assumed that the lead teacher would right the incident report. As a result the afternoon teacher was not aware that there was a problem during the day.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,Medium High,09/29/2017,1152065
Based on information obtained during the investigation. The incident reports completed when a child was injured did not contain accurate information.,746.1003(1) - Director Responsibilities - Operate in Compliance,High,08/21/2017,337968
A caregiver at the operation used poor judgment while interacting with children on the playground. A caregiver accidently hit a child in the face with a plastic ball during a game of dodgeball. While the child was not injured the caregiver should not have thrown the ball at the child or allowed the children to play dodgeball due to the risk for injury.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,05/30/2017,1184521
"Based on the information obtained through the investigation, it was found that a child was injured while in care and the incident was not reported to licensing within the required two days. Incident was reported six days after the incident occurred. The child required a visit to a dentist because of injures obtained.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,01/16/2018,121122
There is a plant by the fence that is harmful to children by having leaves that could hurt them.,747.3501(6) - Safety - Poisonous Plants Inaccessible to Children,Medium High,12/13/2016,344118
It was not reported to Licensing that a child in care received medical attention. This was discussed with the Director on 5/18/17.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/18/2017,1180100
This standard was evaluated as part of an investigation. The phone numbers for authorized release persons were not on the admission form for a child that was injured while in care. This was corrected in the course of the investigation.,746.603(a)(2) - Children's Records - Admission Information,Medium,03/17/2017,228931
Caregivers in the infant classroom demonstrated poor judgment when a child was mistreated resulting in an injury.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,04/14/2017,1102411
Caregivers did not inform the operation's management in a timely manner a child sustained an injury requiring medical treatment.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,09/29/2017,136712
During an investigation it was verified that a caregiver in the infant room did not have visual on a child when they turned their back allowing the child to fall over in a high chair receiving a head injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,09/19/2016,651988
"The applicant does not have required topic training:  -Recognizing and preventing shaken baby syndrome and abusive head trauma  -Understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS)  -Understanding early childhood brain development  -Emergency preparedness  -Preventing and controlling the spread of communicable diseases, including immunizations  -Administering medication, if applicable  -Preventing and responding to emergencies due to food or an allergic reaction  -Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic  -Handling, storing, and disposing of hazardous materials   -Precautions in transporting children if your child-care home plans to transport a child whose chronological or developmental age is younger than nine years old.",747.1007(7) - Primary Caregiver in a Registered Home Qualifications-Proof of Training in Required Topics (A-J),Medium High,08/25/2017,1287283
Information obtained throughout this investigation shows that a caregiver improperly restrained a child.The caregiver restrained the child in a reckless manner by slamming the child to the ground.  This action by the caregiver led to an injury requiring medical attention.,"748.1101(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",High,03/27/2017,216738
"The record of the employees hired on 5/29/13, 2/10/12 and 11/12/10 did not include training in the following:  Emergency preparedness;  preventing the spread of communicable diseases, including immunizations;  preventing and controlling and responding to emergencies due to food or an allergic reaction; understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and handling, storing, and disposing of hazardous materials .",746.1309(f) - Documented Annual Training- Required Content,Medium,08/02/2017,1129858
"A two and three year old classroom caregiver was observed to ignore a child after he was hurt; the toddler classroom had trouble with supervising  the 29 children they were in charge of. In the toddler classroom, I observed two teachers cleaning while the children in the class ran around, jumped on their cots, and played tug of war with their blankets.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,09/28/2016,1180100
During the investigation it was found that the operation failed to demonstrate good judgment when assessing the extent of an injury that a child substantiated while in care.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,12/12/2017,286946
A parent was not notified that her child received a bite on her arm leaving a mark. The parent noticed it when arriving home but had not been told anything by staff.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,04/15/2016,98554
"This deficiency was not corrected.  The annual training of the director did not include the following topics:  (1) Emergency preparedness;  (2) Preventing and controlling the spread of communicable diseases, including immunizations;  (3) Administering medication;  (4) Preventing and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (6) Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,01/22/2018,108664
A caregiver did not demonstrate self-control which resulted in a serious injury to a child.,"749.607(1) - Employee and caregiver responsibilities-Competency, prudent judgment, self-control in presence of children and when performing assigned tasks",High,06/22/2017,95720
I observed the operation did not complete the incident report after they were notified that a child was taken to the emergency room.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,10/13/2016,99748
An incident occurred at the operation where a child was able to leave the building. This placed the child at risk for significant harm and injury. The center has now built a fence blocking the building entrances from the parking lot to keep incidents like this from occurring in the future.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",High,05/04/2016,167184
"A grill was observed plugged in and resting unsteadily on a ledge. The grill could fall and injure a child, and the child could turn the grill on. A lawn mower, open bag of charcoal, open bottle of lighter fluid, broken cement blocks, a broken bench, a bucket of drywall, and a cooler that did not have a hinged lid that could stay open in any position were accessible to children in the yard. A bottle of Lysol toilet cleaner and a tube of toothpaste were within reach of children in the bathroom.",747.3501 - Safety - Areas Free From Hazards,Medium High,10/19/2015,1207598
"The center prepared an illness/injury report nine days after the incident occurred.  Since the child sought medical attention, the center did not prepare the report, present it, and have it signed by a parent within 48 hours.",746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,06/02/2017,545368
While evaluating child file for injury that required medical attention it was determined that the child's shot record was not available for review.,746.603(a)(4) - Children's Records - Immunizations,Medium,04/26/2016,515808
"I observed the fence in the backyard broken and partially laying on the neighbor's home (pictures taken).  Also, I observed an electrical pole in backyard with sharp metal edges  which could cause injury (pictures taken).",747.3501 - Safety - Areas Free From Hazards,Medium High,07/23/2015,143741
An incident report has not been created for the incident.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,02/15/2016,1109503
The center did not report the incident within the required 48 hour time frame.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,09/22/2016,300787
Based on information obtained during the investigation. The 2 year old caregivers are not properly supervising and children have been injured.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,08/21/2017,337968
"The director was missing annual training on the following topics: (1) Emergency preparedness; (2) Preventing and controlling the spread of communicable diseases, including immunizations; (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?); (4) Preventing and responding to emergencies due to food or an allergic reaction; (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1311(f) - Director Annual Training - Additional required topics,Medium,10/06/2017,869931
The incident report was not completed when a child was injured and required medical treatment within the required time frame.  The incident report was completed and signed by the parent during the inspection.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,01/13/2017,313624
"Child sustained a fracture to the wrist, child was not seen by a doctor until three days later.","748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,09/16/2016,1114695
There is sufficient evidence to conclude the operation used poor judgment by not timely notifying a parent of an injury to the parent's child that required first aid. Poor judgment was also used when staff presented inconsistent explanation of how a child in care became injured.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,05/05/2016,234799
There is sufficient information to support that an incident report was not made for an injury to a child that required medical attention.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,10/10/2017,224442
It was determined after the investigation that the caregivers allowed a child in care to walk around with a training cup which resulted in him being injured.,746.2419(7) - Requirements for Feeding Infants - No Walking or Sleeping with Bottle or Cup,Medium High,10/11/2016,465668
"The primary caregiver was missing annual training on the following topics: (1) Emergency preparedness; (2) Preventing and controlling the spread of communicable diseases, including immunizations; (3) Administering medication; (4) Preventing and responding to emergencies due to food or an allergic reaction; (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (6) Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",747.1309(e) - Primary Caregiver Annual Training - Required Special Topics without specific hours,Medium,01/01/2018,245277
"1/Many wooden pickets of the fence in the backyard are missing posing risk of the animals/persons can get into the playground from the outside/the walking trail.     Co nhieu cay go hang rao san sau bi gay khien cho thu vat hoac nguoi di duong co the vao san tu duong di bo o san sau.    2/Many nails on the wall in the exit path from the backyard are accessible to children posing injury / entrap cloths while outdoor activities.    Co nhieu dinh dong tren tuong ra loi thoat san sau trong tam tay cac em, de gay thuong tich khi hoat dong ngoai troi.    Note : The caregiver removed all the nails out of children reach as required.    3/Two buckets full of water in the backyard are accessible to children.    Co hai thung dung day nuoc de o san sau trong tam tay cac em.    Note : The caregiver put the lids on two buckets keeping them out of children reach.",747.3501 - Safety - Areas Free From Hazards,Medium High,06/06/2016,1247505
Three of the vehicles have torn seat exposing stuffing and metal framework. This could present a risk of injury to children while being transported.,"746.3407 - Maintenance of Building, Grounds and Equipment",Medium High,11/08/2016,281900
A resident reported his nose may have been broken after a physical altercation to staff on 05/13/17 and 05/16/17.  Resident was not evaluated by a medical professional until 05/17/17.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,06/15/2017,95099
The air conditioning vent in the backyard does not have a safeguard and was accessible to the children at inspection. Children can put their hands inside it and get hurt.  (Khong co hang rao can bao chung quanh may lanh o san sau),"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,05/25/2015,151552
The operation did not notify parents timely when a child was injured in care.,744.307(a)(3) - Parental Communication - Situation that Placed a Child at Risk,Medium High,12/14/2017,752297
Staff failed to promptly seek assistance to render medical attention for a child who had extensive bruising on multiple parts of his body.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,03/22/2016,276920
Caregiver did not demonstrate good judgment while conducting diaper changing. A child fell from the table and received medical attention. The room where diaper changing takes place is concrete and can cause serious injury.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,12/14/2017,100079
A child received an injury that required medical treatment in May but the injury was not reported to Licensing until almost two weeks later.    The director has corrected this by reporting the incident and receiving technical assistance on this topic.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/05/2017,94650
"One of the four children files reviewed was missing a statement of the childs special care needs. This includes, but is not limited to, allergies, existing illness, previous serious illness and injuries, hospitalizations during the past 12 months, and any medications prescribed for continuous, long-term use.",747.605(13) - Required Admission Information - Special Needs Statement,Medium High,05/27/2016,101857
A child in care did not receive medical care as needed for a severe diaper rash.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,10/07/2016,497972
A child received medical attention because of an incident at the daycare and the incident was not reported to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/09/2017,148823
This standard was evaluated in regards to a report and was found to be deficient. A parent was not notified in a timely manner that a child sustained a serious injury while in care.,746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,09/12/2016,130319
"It was observed in the video as well as caregivers and parents statements stating children in the victim's classroom were out of control by running around, throwing toys and hurting other children.",746.1203(5) - Responsibilities of Caregivers - Children in Control,Medium High,06/01/2017,114336
